gpId,Квартира,Этаж,Комнат,"Площадь, м²",Планировка,"Цена, руб.","Цена за м², руб.",Статус,"Цена продажи, руб.","Скидка, руб.","Получено средств (залог, ипотечные выплаты), руб.","Остаток, руб."
ГП-4,М-ГП4-Б-108,9,3,77.80,Т1С23ЛКС,5000000.00,64267.35,,,,,
ГП-4,М-ГП4-Б-109,9,3,82.44,СТ12ЛК3С,5000000.00,60650.17,продана,1910000.00,90000.00,500000.00,1410000.00
ГП-4,М-ГП4-Б-110,9,1,36.95,С1ЛКТ,2000000.00,54127.20,продана,1860000.00,140000.00,1200000.00,660000.00
ГП-4,М-ГП4-Б-111,9,2,55.29,ТКЛ12С,3200000.00,57876.65,продана,3190000.00,10000.00,1300000.00,1890000.00
ГП-4,М-ГП4-Б-112,9,1,34.90,ТЛК1С,2000000.00,57306.59,продана,2000000.00,,700000.00,1300000.00
ГП-4,М-ГП4-Б-113,10,1,34.90,ТЛК1С,2000000.00,57306.59,продана,2000000.00,,1200000.00,800000.00
ГП-4,М-ГП4-Б-114,10,3,77.80,Т1С23ЛКС,5000000.00,64267.35,,,,,
ГП-4,М-ГП4-Б-115,10,3,82.44,СТ12ЛК3С,5000000.00,60650.17,продана,2000000.00,,1300000.00,700000.00
ГП-4,М-ГП4-Б-116,10,1,36.95,С1ЛКТ,2000000.00,54127.20,продана,1990000.00,10000.00,1700000.00,290000.00
ГП-4,М-ГП4-Б-117,10,2,55.29,ТКЛ12С,3100000.00,56068.01,,,,,
ГП-4,М-ГП4-Б-118,10,1,34.90,ТЛК1С,2000000.00,57306.59,,,,,
ГП-4,М-ГП4-В-119,1,1,34.90,ТКЛ1С,1800000.00,51575.93,,,,,
ГП-4,М-ГП4-В-120,1,1,43.23,С1ЛК,1800000.00,41637.75,продана,1680000.00,120000.00,700000.00,980000.00
ГП-4,М-ГП4-В-121,1,2,54.41,С1КЛ2Т,3200000.00,58812.72,,,,,
ГП-4,М-ГП4-В-122,1,3,77.80,С1Л23СКЛ,4200000.00,53984.58,,,,,
ГП-4,М-ГП4-В-123,1,1,34.90,С1ЛКТ,1800000.00,51575.93,продана,1800000.00,,800000.00,1000000.00
ГП-4,М-ГП4-В-124,2,1,34.90,ТКЛ1С,1800000.00,51575.93,продана,1720000.00,80000.00,1400000.00,320000.00
ГП-4,М-ГП4-В-125,2,1,43.23,С1ЛК,1800000.00,41637.75,,,,,
ГП-4,М-ГП4-В-126,2,2,59.63,СКЛ12С,3200000.00,53664.26,,,,,
ГП-4,М-ГП4-В-127,2,2,54.41,С1КЛ2Т,3300000.00,60650.62,продана,3300000.00,,1700000.00,1600000.00
ГП-4,М-ГП4-В-128,2,3,77.80,С1Л23СКЛ,4400000.00,56555.27,продана,4110000.00,290000.00,3600000.00,510000.00
ГП-4,М-ГП4-В-129,2,1,34.90,С1ЛКТ,1800000.00,51575.93,,,,,
ГП-4,М-ГП4-В-130,3,1,34.90,ТКЛ1С,1800000.00,51575.93,продана,1720000.00,80000.00,200000.00,1520000.00
ГП-4,М-ГП4-В-131,3,1,43.23,С1ЛК,1800000.00,41637.75,,,,,
ГП-4,М-ГП4-В-132,3,2,59.63,СКЛ12С,3300000.00,55341.27,,,,,
ГП-4,М-ГП4-В-133,3,2,54.41,С1КЛ2Т,3400000.00,62488.51,,,,,
ГП-4,М-ГП4-В-134,3,3,77.80,С1Л23СКЛ,4400000.00,56555.27,продана,4400000.00,,2800000.00,1600000.00
ГП-4,М-ГП4-В-135,3,1,34.90,С1ЛКТ,1800000.00,51575.93,продана,1700000.00,100000.00,900000.00,800000.00
ГП-4,М-ГП4-В-136,4,1,34.90,ТКЛ1С,1800000.00,51575.93,продана,1710000.00,90000.00,1400000.00,310000.00
ГП-4,М-ГП4-В-137,4,1,43.23,С1ЛК,1800000.00,41637.75,,,,,
ГП-4,М-ГП4-В-138,4,2,59.63,СКЛ12С,3400000.00,57018.28,продана,1660000.00,140000.00,1100000.00,560000.00
ГП-4,М-ГП4-В-139,4,2,54.41,С1КЛ2Т,3500000.00,64326.41,,,,,
ГП-4,М-ГП4-В-140,4,3,77.80,С1Л23СКЛ,4400000.00,56555.27,продана,4400000.00,,1000000.00,3400000.00
ГП-4,М-ГП4-В-141,4,1,34.90,С1ЛКТ,1800000.00,51575.93,продана,1780000.00,20000.00,900000.00,880000.00
ГП-4,М-ГП4-В-142,5,1,34.90,ТКЛ1С,1800000.00,51575.93,продана,1710000.00,90000.00,900000.00,810000.00
ГП-4,М-ГП4-В-143,5,1,43.23,С1ЛК,1800000.00,41637.75,продана,1800000.00,,300000.00,1500000.00
ГП-4,М-ГП4-В-144,5,2,59.63,СКЛ12С,3500000.00,58695.29,продана,1690000.00,110000.00,800000.00,890000.00
ГП-4,М-ГП4-В-145,5,2,54.41,С1КЛ2Т,3600000.00,66164.31,продана,3600000.00,,2200000.00,1400000.00
ГП-4,М-ГП4-В-146,5,3,77.80,С1Л23СКЛ,4400000.00,56555.27,продана,4350000.00,50000.00,100000.00,4250000.00
ГП-4,М-ГП4-В-147,5,1,34.90,С1ЛКТ,1800000.00,51575.93,продана,1800000.00,,600000.00,1200000.00
ГП-4,М-ГП4-В-148,6,1,34.90,ТКЛ1С,1800000.00,51575.93,,,,,
ГП-4,М-ГП4-В-149,6,1,43.23,С1ЛК,1800000.00,41637.75,,,,,
ГП-4,М-ГП4-В-150,6,2,59.63,СКЛ12С,3600000.00,60372.30,продана,1800000.00,,200000.00,1600000.00
ГП-4,М-ГП4-В-151,6,2,54.41,С1КЛ2Т,3600000.00,66164.31,продана,3330000.00,270000.00,1300000.00,2030000.00
